"sourceUrl","anchor","title","kind","releasedRaw","modelNumberRaw","batteryRequirementRaw","rangeRaw","ammoRaw","accessoryPortsRaw","setNamesRaw","contentsRaw","originalPriceRaw","notesRaw"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","teamforce2000set","Team Force 2000 Set","set","1999",,"10 AA's",,,,,"2 Front Vests and 2 Pistols","$34.99","Nearly the same as the Team Force 2 set. Team Force 2000 Box Team Force 2000 Gear"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","teamforceset","Team Force Set","set","1997","80504","10 AA's",,,,,"2 Front Vest s and 2 Laser Pistol s","$34.99","This set is good for two people just getting into Laser Challenge. Team Force Box Team Force Box with Components"
"https://khanjal.com/lasertag/gear_laserchallenge_original.html","tournamentset","Tournament Set","set","1996","80502","5 AA's, 1 9-Volt",,,,,"1 Laser Pistol and 1 B.A.R.T.","$?","I think the Dual Target set is better then this."
"https://khanjal.com/lasertag/gear_laserchallenge_pro.html","clashpak","Clash Pak","set","1997",,"14 AA's",,,,,"2 Laser Challenge Pro Vests","$119.99","This Pak was cheaper then getting two of the single Pak's. This was not worth the investment due to Pro vests flawed designs. Clash Pak"
"https://khanjal.com/lasertag/gear_laserchallenge_pro.html","competitorpak","Competitor Pak","set","1997",,"7 AA's",,,,,"1 Laser Challenge Pro Vest","$69.99","While really not a set, the Laser Challenge Pro had everything in one bundle, but still failed in the long run. Competitor Pak"
"https://khanjal.com/lasertag/gear_laserchallenge_pro.html","laserpro","Laser Challenge Pro","gear","1997",,"7 AA's; 4 in front, 3 in back","200 ft.","Depends on mode","3","Clash Pack and Competitor Pack",,,"This was a very good attempt at arena style gear, but alas it did not work out. The good things about it are that there are 3 sensors! One on the front, one on the back, and one on the gun. Also, there is a little red light on it, clearly visible to everyone else (except in extreme sunlight). It was an indicator to what team you were on (flashing or solid). It has 3 accessory ports which is awesome, but then only one accessory was made for it. The vest also vibrates when hit. Laser Challenge Pro is very faulty. Both of the ones I have purchased developed problems after about 2 months of use. The buttons started to fail or the digital display would stop working. I have done my best to repair them but without tearing the whole circuitry apart, there is no easy way to fix these problems. The Pro vest has a lot of features that lead to the Laser Challenge V2 gear, like Max Blasts, Shields, and playing with or without sound. Laser Challenge Pro"
"https://khanjal.com/lasertag/gear_laserchallenge_pro.html","walkietalkie","Walkie Talkie","gear","1998",,"1 9-Volt","900 ft.",,,,,"$24.99","This is the only accessory that was released for the Laser Challenge Pro . You can hear the vest sound effects through them, and is a real nice way to talk to other people playing with Pro vests over great distances. They come in Red or Blue, another way to show what team you are on. Walkie Talkie"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","adapterpak","Adapter Pak","set","1998","80722","--None--",,,,,"2 (1 blue/1 red) ELS Adapter s","$19.99","Adapters were sold in packs, not single. ELS Adapter Pak ELS Adapters with Box (Blue) ELS Adapters with Box (Red) laserchallenge_v2_elsadapter.pdf (1662 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","elsadapter","ELS Adapter","gear","1998",,"--None--",,,"2","Adapter Pak and ELS Game System",,,"The ELS adapter links the gun to the vest, and enables a new style of playing. ELS Adapters with Box (Blue) ELS Adapters with Box (Red) laserchallenge_v2_elsadapter.pdf (1662 KB)"
"https://khanjal.com/lasertag/gear_laserchallenge_v2.html","elscomputer","ELS Computer","gear","1998",,"3 AA's",,,"3; 2 gun and 1 Parallel","ELS Game System",,,"The ELS computer adds Laser Challenge Pro like features to the V2 line. When you first turn it on you can program the time limit (up to 10 hours), number of hits (up to 30), and how many are on each team (red and blue). Each person plugs in when it asks and everyone gets a unique ID. When the game is over, whether time ran out or one whole team is dead, everyone plugs back in and it pulls up various statistics like hit % for each person, who killed who, the best shooter, and the worst shooter. You cannot shoot your teammates or yourself and you have a limited amount of reloads. You just plug back into the computer to ge t more reloads. The only down side is there can only be a maximum of 8 people. There is also ELS software to connect with a computer and print out the results. ELS Computer ELS Game System Box with Components laserchallenge_v2_elscomputer.pdf (1796 KB) laserchallenge_v2_elsprint.zip (17 KB)"
